account,amount
0x9f0a97311761d0560AE9496Ec76f6B58C7970e3e,10000
0xa865c5dc42E954c10807c6b789a9D1B76CC55a6F,10000
0xa696b6511c696ffd0cec8edc89de1134acf0a48d,9900
0x15DE3d7f7180f554421A91e27eE28a542881740D,9345
0x67CAf5032a0138628A3D6A2b04EE6318D9afBc24,9000
0x2A3530417Ef2eE48e0Eb98Cb4C097c87F853a66C,9000
0xb548E8108Ea0E81B70A088eED3638686326df72b,9000
0xAbA775AcF88723E05dB5546BaE58f10C20a9F061,9000
0xFdE65eA7a7aF9B4fECD585db65e0b0394a2A55A7,8500
0xAb3fa22CF7F2f4F26b7E9b0C36471456E62C6479,8400
0x999E136C7575396bAD7ED1c726042908A43f666C,8400
0x6098E17a2945d2858368329e03c0a4A64A549814,8000
0xac877e0113d6C98E5c45ad966F9f5E0592ef7Dc5,8000
0x76Ae1e4e0D17dc32B0fe0478f3eD27C4Fe45D174,7500
0xD61c47B00BB534993f6A79A6561c7a6184aDF616,7350
0xe655cf3299ba60975cdd6385ff96adbba9be8aa5,7250
0x57adCf3081F4E0498Fe754900cC994EB4f94ddE6,7200
0x43492e8a862BaA9C9Fc505d95b9E67E21622Ff7a,7000
0xAe0E344672A848a174AEC37Ce4144e05B80c440A,7000
0x807A5E21b365a9DF219D1e286DdDe9E1e2A25c56,6972
0xc6c68296f0d9694C45977f5842303568d0F8B90c,6969.2
0x8cC3A69d93DCbB88f4bd61B7E57dF7a5882f0Fc7,6933.6
0x6553332ab0e32b80235fAe8Da0c368203b47107e,6900
0xe0Eb54E2Ee1a3A35f33A2eCEE4Ab428E958AF1FD,6800
0x77BbFa1E9088b6763fDF18D4655421E81aFAaCeE,6600
0x71a984f186E66291120f230A892C51f3744D2688,6600
0x97eB01f26678791b8919F65DE0a8036D4ba8D0D9,6600
0xf16C382e31f82a1C5130C4c1884Bffa9acaC9112,6425
0xdCa9E66DFc7b391AdD7fc847d05f13264B73f2d2,6400
0xE3a3DDBBd945Ca1f565fDF8699788003E05fFE84,6357.6
0x77FB99be6Caa5e2B5F41C4C680a622eC66521D28,6300
0xb3fbC9B9aBb41Aed76aEfB0616AffA28d4774aa1,6050
0x8184561204F6180496bfEe4dDFd9Dc2C0B57b5DE,6000
0x0f3749fb3c1bF93b19083FDd96767e64eda08086,6000
0xED3fb32c5C61f00f4dc7f4B64FD8378bF1A15f61,6000
0xa7C4a6b1510DfC72b55ffCC9B8152CdaDa091489,5800
0x02d4879d7997AC00469A10CB4fa407DD2907c752,5600
0x6f9EB698cb2D5Eb1A59dEfA58DeDba0A31aEbeD2,5500
0xAf53261cc893EbED1d2c688C64a2FD26b549A816,5500
0xE95061f332647a784570272890DF2cc6Ea76A91f,5500
0x38f2a3b2a83c90e1Ed30B07bAdD59d3c14fA97a4,5448.2
0x42a108d7d726E29a3375dBe6e2577B7E318Ab0bF,5325
0xF168461E2B11512b19684A2F5e91C743c5B77ea4,5200
0xDd503Bb72B6e7Ddde0921b32F7B7B9A5D7F25759,5200
0x4cFac7be66dC44dAFA7fd54F5730934dC0D868eE,5200
0xCDc11A65b5696ab1460fCB0D1B2c1909B1E8Da7F,5013.2
0x9bF4F5B0EE748FF8031263a9E3eC3D18AfB6aA4f,5000
0xaC74fc7Db4C034Cf8D280AB2256c991BbDC8f1b7,5000
0x5c0Fa7Bc7f163F4001b0b6353872fE26aA8E9839,5000
0x632807db968a4aa363514c6cfdff2af155559f99,5000
0x4C57DdeCFe2B5AF254BB5305B0B4efAFB7e71747,5000
0xAF3A529D68784a78e0c68F7717bDc373a739A93B,4900
0x7D3Ed7e4798B67E02B99e772C453B98f4125AFF9,4850
0xDDC9F1dc5a7e4a30CdC5D192114cA53252472E1e,4850
0xf490116431d6D930AB27039A2bd92121d8FcAEa7,4800
0x519709645B8bcdDdC3125108992eCc8259cB08E1,4429
0xab446EF388bb84Eb21A1c6C943cC3e1d23e6d859,4300
0x671215a06a0a4Fe039A7BA8a282D178512929572,4300
0xE5d7e380C78634f6C6d074ee888C23DF7C5B4252,4200
0x422E2a0854e9D4123f44c23107cDdb45Db505cfD,4200
0xcE18A7452d57579d6c6b885B69B1978067Cd2D87,4100
0xDa131dc2c646d524f42ACB8DC69FA38a9C6d87f9,4100
0xCb0ce7fd46bCe2ab4D561642e601fF14A9220422,4000
0x81e77fD95dDaA13D813aB0695BAE436E93943769,4000
