account,amount
0x018615b3E5f30944DC769Ce8882d61b66F31DDa3,2000
0x0505E7FDdF5a88a8A3743Ac579Cb6F33c181D4BB,3600
0x098F2C764F892c24b9Abb9656761eB5946370B35,162579.9575
0x132E925e1F13E3a2E6f948E8a0aD0a1b99454af8,400
0x1B76b011C0a1E03896bFc8923bE228E430bb9049,3408.689929
0x2011862879eE9F98F593C79e5c14bB5325306d75,500
0x27B503fd677dd889ea3E7804DF492D2D809E6052,50448.05615
0x290AA5081D6298C181949946893876A1B76Bf144,3132.309664
0x29Faeb62f4e9E1456c2fEED5c6f27B13Fae91Dae,7537.830722
0x2f0544bB9408AFe2aEb6144AC93Cc5E7D453D847,1000
0x332345477Db00239f88CA2Eb015B159750Cf3C44,12034.66185
0x3F13C31474141F6912eed296220c0996c90253d2,2855.9294
0x41D2Ce62cd81D9ccd5C6890DCb44267B26165F85,117000
0x42b0765b70af2b6910F6281b3dC0C34a9CdbB65c,1000
0x42B81011a367d3C7f4e4B570Fadd51209C93F287,3408.689929
0x42Db39eD8fB8e672746c8B7Db3cC65D4153D680a,2000
0x4564d5a8Bb409272F1FB4ae4c8b45fC0eaFd709D,44961.45046
0x47A7202A726324788609003549675F1dBC645b07,2855.9294
0x4d4b78D37090eD3e1EAe6779bA2C3D6728052915,158211.0421
0x4F1a79085a36a2e1eb300330734d6A1143c3f3e5,3600
0x4Ffb83A8344F33453fBEbe5e126534407ceb32f5,23908.68993
0x52Ff0010d4058bb726725ad76F542C53033D67a1,39937.83072
0x5B228FCb60A95F7E749E00c4B88154FC17e706dD,4445.703967
0x608a9358354A93581E686ac7fFdE9D5FADbcb7E0,3040.182909
0x6098E17a2945d2858368329e03c0a4A64A549814,2118.915361
0x65e9cFA11aEad9aACdb55DAba9A75E506f8769C5,500
0x68690C4cECF4245E09DC7E47148B6eFF70cB7061,3600
0x6C7C73Aef66836A1Eeb524376E13E71cFb52D3EC,1666.154832
0x744a0a58d862a6F7A81d59600207a51D3d40ADa2,22000
0x78f625A65Fc316D32d98d249b698fb509A6d98f2,25000
0x7D53BA1D70a66D572A90E3e80Ad4253769340EE7,7377.196948
0x7EA1EaA27b313D04D359bF3e654FE927376e31Bb,40000
0x82944b68bB92fA11764041AA61204b5fdC85F429,154132.3097
0x8429837A4d311a5B82215Fee1f96BDfCdEA9cD73,7200
0x8605Ad47bD35cafEdc05Cd35C70b286bfd5fa791,3600
0x8C913aEc7443FE2018639133398955e0E17FB0C1,47948.05615
0x902b13E46305E3AE10F70871C6D0bca9E5446b07,3500.816684
0x9672c0e1639F159334Ca1288D4a24DEb02117291,25000
0x97D455835a3Ae0F0616f280286439e248f8cB030,58500
0x991b1aDe06d49454FD7A2cAeaf31F908e00d1c63,105500.8167
0x9CBd3D6A36cf2d45442fD35Dc160c97f658F8B18,1200
0x9d6b1a15d476BfBBDf4274Ef6B405086cD7258f9,118105.5211
0xaaF2F3A917e5AC907EFD9c0f3Fd752CC9d66dC08,11476.38026
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,59385.07019
0xAb3fa22CF7F2f4F26b7E9b0C36471456E62C6479,3600
0xB2e233966f32bF5dDDc3EfB61E22963e9e84c88F,700
0xB8abE31a6caF1217D632190559B2C1FD909178ec,29337.01404
0xb8aEe482305B7B219704350786FCE47847CEC996,50514.21099
0xbc9f5417327F989F2e3eD9674d4a3c1d3E526127,500
0xBd3A320dB1ec0207531392A114dD52F918eB30e2,60000
0xc341683d1Ee57b13Ab90a1FC00F38dC6F7aFdd14,3224.436419
0xC70025f24bE879be9258Ac41932bAE873bF7FF0a,26000
0xc92a88E2d17887646A40ddb0DDBBBe5c2a72512c,52000
0xD12430208987CF5A66Ea4A257c34D1DEE722B369,1500
0xD4302bf70541bAfe3AC46bbfC3C7eebe20ccF7DB,80000
0xD85c413dA833CeBD8338138CcEFA04979DF70E8e,43671.67589
0xD916c2182d2C3BFEc7007590E5338A305cD497B4,32000
0xdaFE3083BD4865aDE8fEa183c0E058a585baB68b,3685.070193
0xdDf29c0E97601d8aB661C4B3C3A8AC7D9bD5cb77,21750
0xE02533f1B8bc4BefD8561Df63721A96936F978f9,60000
0xebC8F64e864FFF699b6a57716f40902e3667c92E,12000
0xeD43F03Fa4162df8012646C05F12b7d0092d3bb2,1000
