account,amount
0x27B503fd677dd889ea3E7804DF492D2D809E6052,90000
0x098F2C764F892c24b9Abb9656761eB5946370B35,14244
0x098F2C764F892c24b9Abb9656761eB5946370B35,10000
0x098F2C764F892c24b9Abb9656761eB5946370B35,16000
0x098F2C764F892c24b9Abb9656761eB5946370B35,6846
0x098F2C764F892c24b9Abb9656761eB5946370B35,5804
0x1B76b011C0a1E03896bFc8923bE228E430bb9049,10000
0x0c05AaCC260D5EbfCCDd9B06ab3633120CBe9676,10000
0xdaFE3083BD4865aDE8fEa183c0E058a585baB68b,10000
0x098F2C764F892c24b9Abb9656761eB5946370B35,4118
0x7EA1EaA27b313D04D359bF3e654FE927376e31Bb,2400
0x610566F55e26c87915123120253a2b7A23Daf750,1500
0x913d7434A18F0ef40181B92a9603e0425ab0ADdf,2400
0x8184561204F6180496bfEe4dDFd9Dc2C0B57b5DE,2400
0x6098E17a2945d2858368329e03c0a4A64A549814,5800
0x74b04E4d28A8dcf21B481B384F3023B59DFB16E4,1500
0x098F2C764F892c24b9Abb9656761eB5946370B35,100
0x132E925e1F13E3a2E6f948E8a0aD0a1b99454af8,300
0x098F2C764F892c24b9Abb9656761eB5946370B35,100
0x098F2C764F892c24b9Abb9656761eB5946370B35,100
0x3F13C31474141F6912eed296220c0996c90253d2,14250
0x098F2C764F892c24b9Abb9656761eB5946370B35,100
0x991b1aDe06d49454FD7A2cAeaf31F908e00d1c63,100
