account,amount
0x04425DF955DE991811735DA40fa5CF8eD570EF58,9500
0x0505E7FDdF5a88a8A3743Ac579Cb6F33c181D4BB,2000
0x098F2C764F892c24b9Abb9656761eB5946370B35,45368
0x0c05AaCC260D5EbfCCDd9B06ab3633120CBe9676,3720.6
0x10ea167893cb51500Ec829222E3D17a968FEB650,3000
0x13E283646f203Ef6B24Cd5C8eD5DBbF29Dd0d39F,1000
0x15DE3d7f7180f554421A91e27eE28a542881740D,7000
0x1B76b011C0a1E03896bFc8923bE228E430bb9049,19128.4
0x1c14587742A4CfBEAfB1D9662069dDaf42A7148A,1000
0x20669775D663d9a461ef2B2EfCa8FE43954F4B13,2000
0x27Ed0f676230Dc8fABBf9A2e021ac4a3eaf7788f,1000
0x290AA5081D6298C181949946893876A1B76Bf144,180000
0x29Faeb62f4e9E1456c2fEED5c6f27B13Fae91Dae,2000
0x2B40590F525B4F552B0efB85333877b4A0769400,1000
0x38f2a3b2a83c90e1Ed30B07bAdD59d3c14fA97a4,1434.6
0x3a29b6157Fea3E13d7b05C4532394c0993D592E4,2000
0x3F13C31474141F6912eed296220c0996c90253d2,180000
0x43492e8a862BaA9C9Fc505d95b9E67E21622Ff7a,3000
0x45c4224b8CdC16c2fAf83AfD541AfF840dD3f571,25065.6
0x46D5B3108aC8bE0577E1c29dc98Cf729Fcb8a5Ae,475.2
0x4a0E5c833CD6c38EAC36ea5D83b9D38075aE64FD,9000
0x4B162DBa01943Bd8CD8af668bE72fB769999aC83,3000
0x4D6654beeC5942aEe8E3102528a58fb34A0f1b19,3000
0x4Ed2F7EaDd13CdC339b67F371610bf26224E4B98,304000
0x50a6B6AfEC8F9968EE26AA55f9e34e1207750a03,3000
0x52Ff0010d4058bb726725ad76F542C53033D67a1,180000
0x597F0fDBb96485CD258777248052fF0e4781FE4C,1000
0x5B228FCb60A95F7E749E00c4B88154FC17e706dD,180000
0x608a9358354A93581E686ac7fFdE9D5FADbcb7E0,2000
0x6098E17a2945d2858368329e03c0a4A64A549814,1600
0x68690C4cECF4245E09DC7E47148B6eFF70cB7061,3000
0x6A09c478559565B33849eFF37E26c455Bb61A9D0,15000
0x6bD68d667ECcEA663b2a2Bee1311F7AD6c817602,2000
0x77cB545674f583ebD0453459D4B680Cc4E19e0D7,5134
0x78f625A65Fc316D32d98d249b698fb509A6d98f2,422000
0x796Ac058028f19974a4F8256F6B30FEdcc96537d,1000
0x7fFCa0796A835D2dE97F5F038D8c94de0249624D,1000
0x800819b08C66a1EcbEA09E4b64c7E3412c104DF5,3000
0x8015Dcf3b9D4793e9eA6eC1Ff1D2277e2ED88AD3,5000
0x8bc5c516d460afc3ce001fe4e0a9f1faa424b81d,3000
0x8C913aEc7443FE2018639133398955e0E17FB0C1,422000
0x95D390E8963667461D879A785bFde774138ae20A,600
0xaaF2F3A917e5AC907EFD9c0f3Fd752CC9d66dC08,3000
0xb5b52d469ac3def7beabf146a204f2efe5010b0b,1000
0xb68F52FE2583b5a568E7E57dc98c69d93821f6e4,1000
0xB8abE31a6caF1217D632190559B2C1FD909178ec,3500
0xb8aEe482305B7B219704350786FCE47847CEC996,51840
0xc341683d1Ee57b13Ab90a1FC00F38dC6F7aFdd14,180000
0xc6c68296f0d9694C45977f5842303568d0F8B90c,5502.6
0xd59f74e988261683530F2e31E2994019906CD633,3000
0xD8652A853F4aC24C797fAA02E4633BD69AC9394D,8000
0xdaFE3083BD4865aDE8fEa183c0E058a585baB68b,20000
0xdb1bB2279AeBeBa7cFB0fcED17Ce8824fCc512B5,600
0xE7fBBc8fccd0062D0928544eE7ef89AbDb3b8787,2000
0xF9C5525792dF4D70C287b872BeA21C2E44df87Ac,3000
