account,amount
0x01175ef4738b825cd12f4d1ff2d2904d52144531,389135.9
0x8c913aec7443fe2018639133398955e0e17fb0c1,387200
0x27b503fd677dd889ea3e7804df492d2d809e6052,315540.88
0x3f7a3df9c6f5574b6e67fb26955b75e52a4e2b7e,173000
0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,141296
0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,104544
0x726d714b8b6e10b6e25dd7926c92656046d9861d,102260
0x796ac058028f19974a4f8256f6b30fedcc96537d,88848
0xd8652a853f4ac24c797faa02e4633bd69ac9394d,83334
0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,64370
0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,60421
0x913d7434a18f0ef40181b92a9603e0425ab0addf,56100
0x45b5e0299401f38d7d18bdde102ae62cdff86429,54023
0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,50108
0x8046b31de1acaffbf3be6f547beaf8d22b2f545d,50000
0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,40588
0xfed714ab05fbbc6f964653616c0565033a4da0ef,40569.8
0xae0e344672a848a174aec37ce4144e05b80c440a,39200
0x800819b08c66a1ecbea09e4b64c7e3412c104df5,38378
0x842ac1b1ebc8d9aac5f51127296fbe7191601218,38000
0x868086c52a1cdfe542198c7c8dde4ee421335b15,35000
0x4b162dba01943bd8cd8af668be72fb769999ac83,34500
0x290aa5081d6298c181949946893876a1b76bf144,34350
0x6bd68d667eccea663b2a2bee1311f7ad6c817602,34270
0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,33400
0xef0f49c09f502efbb5be9b12e2e391a44653e3fd,32963.7
0xb8abe31a6caf1217d632190559b2c1fd909178ec,32835.12
0xdafe3083bd4865ade8fea183c0e058a585bab68b,32163
0x42b81011a367d3c7f4e4b570fadd51209c93f287,31196
0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,31000
0xd847ed72649a39aad263ac7a1dcae6eeb9d51e16,30000
0xf37e2ee9b538c958a199131d5d1336b27e4790ad,29465
0x2b40590f525b4f552b0efb85333877b4a0769400,28500
0x9672c0e1639f159334ca1288d4a24deb02117291,26737
0xb8aee482305b7b219704350786fce47847cec996,26649
0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,26018
0xe3db91f3b07f282f9890ae52e7fc0bd2adee2c74,22550
0xa43f37e80f98a3a4c886ba862adc8bdbce40142b,22400
0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,20688
0xaaf2f3a917e5ac907efd9c0f3fd752cc9d66dc08,20000
0xd1e65357d766edfebb888f48626e8339f26cc179,20000
0xa344233d26f6a064dafb0aac726516e718efd885,20000
