account,amount
0x64332BBD3735EcCbBF7C62fb66fA32cbb0a9279e,840
0x00bD50dDA1a8916b98811e4e380546AD6DCcd293,7260
0x608a9358354A93581E686ac7fFdE9D5FADbcb7E0,20260
0x332345477Db00239f88CA2Eb015B159750Cf3C44,185260
0xaaF2F3A917e5AC907EFD9c0f3Fd752CC9d66dC08,1260
0x82944b68bB92fA11764041AA61204b5fdC85F429,840
0xB89609db1058bc21Cd8046dDd5a178a9DB2FF4A1,13440
0xC9C32D95377934629ccC40bBc96851e1a1604a04,3360
0x69808c3bce675186a96513806fd6199aca0997c1,3780
0xEcD658EF541dce1c89C8095799c2b342408F6B75,2520
0xfc4B7420C1a9b969A7570e052f5f860d3C068926,4620
0xe8a9c8b1e40e59485978943ea12567a3127533c3,7560
0xCc863fcbCe6A83c86Fd25D509Db381aDadd60605,2100
0x9A8AF8CE7Fb7AeBf47E3e915a53921Db7C53780d,2100
0xfbdaa313830eca37ecee01f99e0a11e3c2b5b61e,2100
0x27B503fd677dd889ea3E7804DF492D2D809E6052,3360
0x78b2BE7bb5B86e0A88E04Da9E2A3FF048A574Ff5,2520
0x29Faeb62f4e9E1456c2fEED5c6f27B13Fae91Dae,14660
0x5B228FCb60A95F7E749E00c4B88154FC17e706dD,81040
0x7EA1EaA27b313D04D359bF3e654FE927376e31Bb,5040
0x4Ed2F7EaDd13CdC339b67F371610bf26224E4B98,25040
0xb8aEe482305B7B219704350786FCE47847CEC996,185040
0x1164817E6Ad6Bfc31566d6bA007d02e72106432F,15000
0x84EFC8925c4Fd657759DAc68E4e37701E1793653,60000
0xAAd532769DC3C9c23068C2163168a77cD5d2aE6B,3500
0xE02533f1B8bc4BefD8561Df63721A96936F978f9,180000
0xc92a88E2d17887646A40ddb0DDBBBe5c2a72512c,180000
0x4Ffb83A8344F33453fBEbe5e126534407ceb32f5,427000
0x991b1aDe06d49454FD7A2cAeaf31F908e00d1c63,39847
0x902b13E46305E3AE10F70871C6D0bca9E5446b07,58000
0xB022fD04B86D2887380067C960637100DBfb82AC,14500
0x132E925e1F13E3a2E6f948E8a0aD0a1b99454af8,8833
0xcE18A7452d57579d6c6b885B69B1978067Cd2D87,52333
0x78f625A65Fc316D32d98d249b698fb509A6d98f2,11000
0x290AA5081D6298C181949946893876A1B76Bf144,6000
0xA04a738E0034A47072F2d01e4A7DEa0BFd6cba6a,64833
0x47A7202A726324788609003549675F1dBC645b07,23833
0x233Ac30A896C5aBb30A21e98C755d8B0cd463DFB,9000
0xfFFF1BB3e4778d4822b3a95Def4E938C3e118141,3333
0x9FbDE1512D2AeB2000866fa6F8A01E6Bc80559e0,2000
0x6C7C73Aef66836A1Eeb524376E13E71cFb52D3EC,2000
0xB9175ABB60De2c47C8F1dAc88179dDa3Db369457,7500
0x8429837A4d311a5B82215Fee1f96BDfCdEA9cD73,33000
0x6098E17a2945d2858368329e03c0a4A64A549814,69000
0xD9897E8b7a587ea154691199289f2341E0A1c20c,3500
0x8cBf78aE1ab3f6d288bd3eE44c8A74e2a013E378,3500
0xBfd8cba6a1E10e1Ab4Fa11A0062F4e52e13D260f,4000
0x5d2abDbcc951D39531eC0Ae5fc6b438D516d2Fe6,4000
0x71F80aC94831217629baBFa09C5A9E68B3FB07C4,4000
0x798CDE64455Df6cBBaBF2FBa57cb7d3C7464BF7A,55000
0xbA976b8F86bD02CBbb3FF9406B6c9b5A5D34c00d,100
0x098F2C764F892c24b9Abb9656761eB5946370B35,66328
0x3F13C31474141F6912eed296220c0996c90253d2,9758
0xdaFE3083BD4865aDE8fEa183c0E058a585baB68b,500
0x0c05AaCC260D5EbfCCDd9B06ab3633120CBe9676,10000
