account,amount
fuckdream.eth,10
DanielTao.ETH,10
0xFb8AB8f58116a72BF9bA80A9a7c2daD7fbE7f666,10
0xf343fd8910CAe41C656e04f9a34a9C9dcCE140eB,10
0xeF7C90F3A473299a5686020777E1b7a7a1fceE6B,10
0xDd15b502789482BF1507C570b8A4E58C7b437A9c,10
0xDaB3757ed6Bf2958a9d866b000e911224e7CDD9e,10
0xD328625ee2172CB076b9f2d82225CF248B526b27,10
0xD19a90F83eBC943830A9bb55704A4355DcB73c07,10
0xD128fa6476c138F32b23f0A6D49361bFcD59e93E,10
0xcB994503cEB5E4f920C6d72DEE11a3A212940D65,10
0xC35F47082E2FfBFDA3F4E8fBEEa5a10842AF902a,10
0xBBdb2a3b3f96a70cEBc24C2b30bed3CBfDBa5e06,10
0xbA75Be09d78FAa59A5091E38e5e5672DC7f18A20,10
0xb0BCc8d01Ef6598eA96F91DE6ABF426A5165D820,10
0xaAaEf16f3C498114947F13DD21b58F8d182Fb44f,10
0xa846E8aC54CD552D71603Ac72F65dC4bc81a30d5,10
0xa03239b8C59Df2C79665D8cfbf3A6C1a9B2e5668,10
0x9f0a97311761d0560ae9496ec76f6b58c7970e3e,10
0x8Aa2BAd3b3bC62865Ac2314FA7C8934e5C21f213,10
0x7Ad65723f10394dd27B1EC59A0e37d6b9EA6CD29,10
0x6Df33720431148Ead275C3d638d6e8d7e6951184,10
0x6B8aFfdD0A803E4537e077cf157F98Bb6763369a,10
0x6721c4F439B25F77636F7DF9B8165d3E8DE4F955,10
0x6124Ee06A0905cA1c7D677C96ffB4f66430178D0,10
0x608a9358354A93581E686ac7fFdE9D5FADbcb7E0,10
0x5A2dA5cb024a6d14a6A7488b431fa191Bffcc0e3,10
0x5735c58bFa77e5392F227cC614379e2B0A99FBf2,10
0x5349a8cCf9153Ecc815783c13431C40976eC6bb3,10
0x443d40B2AA10cb01884A97281Dc8ac3cCb0eef2a,10
0x3B4bbC97D538915A8D9CE75F59969443d1280a9E,10
0x33651ACce37f6E0A3dCF8937b6Cfb2886BA7789F,10
0x30949a61181Dc54D01c5478d70c9C427464a58B4,10
0x2bd9cf434dced9ec3e1472426cb1cdd88a113764,10
0x26c47EaBa0879367817173233cF7380cD931A184,10
0x1ec54e4dABACF888d8af8A15637a90A3Fd506339,10
0x1d9136fa6c577aDBf437dB4e63dc216D331289e6,10
0x1496F0bc152842c79993946946626af285B2b077,10
0x044372d3d19D34e77d5eE9c53cCd68703B6B669C,10
0xED3fb32c5C61f00f4dc7f4B64FD8378bF1A15f61,20
0xDc0Fb244722383BB12fB9970Bc46e60c94Fd78f7,20
0xCcf97cEcdd74D49bA17E58Ce9d72DFc9ed2d983f,20
0xcf1b6522890c640dcd5075284d3d73e193d21839,30
0x1eF52Bc0399977A8A3f171030cc9c9eBBF1F12CD,30
0x0aab65863e955fa8e8d6ad4318bcfd82f3e0aa82,30
0xc974Ae1d5353068641Fc713a35f991FA3FF162A9,40
0x97dD69ed21aD059bC7ff6c3A52d84a29E966202d,40
0xb43b1164F189D2D277094A7A34836a9d3d271fd2,50
0x8ab6B5c37b1ffA826ECfbDc2F6A835D64e755100,60
0xbe3018ec0a8d780833336251e591a58097d8618a,70
0xF420850AC67c34e3bFF6c18f8361D498eB7925BF,100
0x390cfeB54A0e4C0D5a83b78Ee6CA7CD8B312Ff55,130
0x255677b3A8E1003e3d4C7aB18726e881d4d331e4,140
winterhouse.eth,170
0x273cb48e6189c27474F5520F1795D31fb5F9d649,180
0xACA455F98f08366DF95E2729BF6fd3e2976BF68f,200
0x9301f653551903d42D7d3D3CB3bADCd154aF6B29,200
0x7d31974357498c26cAf13087E7609A2435039c44,200
0x3d25DdA985AbF6F19bEBD946607Ec2295159c63b,200
0x189dBF671B5256c2EF3a3dEBe84B40903876B4d8,200
spacelaika.eth,210
0x9aa9abd9d470a16e3ba6189d8ac86613ff8330e5,220
0x86Fc1b08fDEBb8D855019b5D7318a696C6de9e98,250
0x106B48f8A7519b6d67c8f0EbC09f54A5d0eB8130,260
0x8ec882e845f60c7c0a65dce55982a0139a65dfe7,340
alexsu.eth,360
0xE1BA0B1C2c193c1B4d73e883b6Ba73FF7789Ff75,500
0xB48EEA90C3Bf38f9406dF8A9f6bb376dEb9ec967,500
0x1E7959af4CbF22FAe828Da46Ef18537C669d2216,500
0xDA563ED7B18C2038C18585A07b73AbFC707d8Eb4,540
0x2b1af5e32E5178F9F0a446d96Ba490c9F9B25E7f,600
0x871608cba092105b91e91295a1d79ffc539bfb48,610
0xda3b46e7506Eb94A9A37475E214d5d75f5555309,650
0xCb0ce7fd46bCe2ab4D561642e601fF14A9220422,700
0x43E335da57C3928F1CFA75775A3694bA792C9a7b,800
0x1dd338e033e04b2756b01046fb47ac1fa6e212cc,800
0xEa5006249c8c126955A7AdC5c2FdfE86e4d7A501,1000
0x9e0da5e51bCAb0Fb9571a71bDCbd816d0Caa88e2,1000
0x4c110955797491476fe2D750C9B10b89069ed4E0,1000
0x31e3c86699dD171D65603d303aFDCb35c7D7D0e0,1094
0xa41923B03f45E5d0B4bc5ea464DDadbaF83C276c,1100
0x45120Ece28C0c2076646dcCD307ee6c4bf18F475,1167
0x44d68eC828438E690F3575C9e11A2F642b593169,1171
0xC153CF1f34EDA8FC7E28ce4f4B891194bdF0b145,1500
0x8b1Ad12fBaf6c2CC6f831C4FAe490EA437217CD5,1568
0x6bD68d667ECcEA663b2a2Bee1311F7AD6c817602,1700
0x97ECA9abc70d37149012F2A9d02f21646b5d684B,1900
0x920aAdB58050EF2Dd18A0c0e4fF6D54A88B67781,1902
0x01917dfa012027D59C86250e887A45f6d8f49F6D,1902
0xE02533f1B8bc4BefD8561Df63721A96936F978f9,2000
0x5af6bB85508b1F9Ec6371a2F4a489e8532775bfd,2057
0xa0C4Fa4E20c58d100986b91bdBcf3bc363Acc107,2200
0x4c45929cbb3ADB3d1168e04DB02dCa1E6F0091e3,2400
0xef0F49C09F502EfBB5Be9b12e2e391a44653E3Fd,2500
0xa50Bb794012b9617CdCAC8653f8041842F3c4315,2500
0x92303a59161BE115AD6248cAc01555b39F7D77B1,2800
0xC7302C698b665380b3bf15cFEB8D38514d91AaDd,3000
0x0374dd85fdbadaff0377bbe7d7753b054bd9e7e0,3000
0x0b67E4577e5Fa87901483aFbF5BA11C2ebF1297A,3100
0xE28391FD7a4aCb2c2C0F72b334a0D0cC10626791,3140
0x85633c25d2518dc5e6e05b8c9dc4596db2918575,3140
0x28A6cAb52923b40Dbbc11683Cd72bcAFbB6a1cB5,3804
0xdeD92478Fb928a677b56E023E85eC021139Ed991,3967
0x01116BfF69113dc1125DD9FC465eED55cF32e9Ca,4110
0xf6c00C65a50f418A475226AEA2761B3D22D15151,4275
0x1DD17a7386a883674eC2CeFa7cbE6da75E719046,4300
0x8bA03B63396C97B2fFd0Ea80A0be006D9FC2e02c,4500
0x38Bf2A516606DbF474167fe09Dc5Ea203fbf7629,4583
0x4C7Be8167c33CD4a1FC89E1aFAFb2724EB7d42f9,4586
0x8817E259B93256bbb86DE6Cd2E9b8612763Cc674,4878
0x1678B0BD85337D2C56baa6bD83f36f3f359482C1,4888
0x9731c556A8F285fA33Ff3dec4aDd14784b944036,5000
0x82944b68bB92fA11764041AA61204b5fdC85F429,5000
0x5eb71CaeaDf22107A578bC5261ec9A1e16FAD5f8,5000
0xb789A1297b1f5d46435d1679e18696438A795b04,5020
0xF95269E144074e18C6AcD0F1102Ffc5A2E51818d,5040
0xc6c68296f0d9694C45977f5842303568d0F8B90c,5261
0xfbf0dab80535dB219540Ae5eB972c4955580EA89,5500
0x3bc6e78258959677C449Dd18710741bBe8daadd2,5500
0x682993931130995b557f0b4d4c9f968a1f655a81,5690
0x258ce53268BEaA9BA97fA6b7790d7555ae4044fc,5706
0x5e6445B0a68536FE267A9EF7639Bf04851889cc8,5902
0xC247A2a860eC45854F2C697F42db41840df8962e,5949
