account,amount
0x290aa5081d6298c181949946893876a1b76bf144,220291.2481
0x3e2141d27c11da046e443c53441ed53b390cb15a,58232.99851
0xe8a9c8b1e40e59485978943ea12567a3127533c3,300
0x04425df955de991811735da40fa5cf8ed570ef58,22700
0xb5b52d469ac3def7beabf146a204f2efe5010b0b,3250
0x0b67e4577e5fa87901483afbf5ba11c2ebf1297a,800
0x4adf647e256b9b1e8086064437f6b404a5c7b421,4960
0x445ba997bfca5c7a390ff2140362c02390630752,300
0xa48062362fe1704fb91b201d9e48ad2e6f197df3,10000
0xfcbcd3a9d1bd7fc800db26e6032ce98e50a014c6,8000
0xbe3018ec0a8d780833336251e591a58097d8618a,600
0x45c4224b8cdc16c2faf83afd541aff840dd3f571,26300
0x719c8d75faf8f1b117ea56205414892caab4a1b7,10000
0x76ae1e4e0d17dc32b0fe0478f3ed27c4fe45d174,2000
0xa64a958067808e8dceca308ddfb4ae7f4287c2de,12200
0xd88dccccd6e1c614614e21183c97e5391718d929,20000
0x748e001b9fd86b776f2f3a1db7894550c53bbb50,2000
0x5795a5a4eb007a7bdad32e1bfd170abd1d3be633,300
0xae0ad814d6ed441a383677ecae0611087b766233,300
0x92d27113ec390579c24654ff340ca5d2be9b32df,2800
0x132e925e1f13e3a2e6f948e8a0ad0a1b99454af8,2300
0xb8aee482305b7b219704350786fce47847cec996,431834.9354
0xf1b38f6f03b603b7bbd67263805414052a9104a7,300
0xbfd8cba6a1e10e1ab4fa11a0062f4e52e13d260f,10514.56241
0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,24776.68573
0x20669775d663d9a461ef2b2efca8fe43954f4b13,910.8
0xc6c68296f0d9694c45977f5842303568d0f8b90c,6969.2
0xe9ef427487ea3d7797a65077b1f8cec554965734,500
0x1b76b011c0a1e03896bfc8923be228e430bb9049,27100
0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,659834.9354
0x8015dcf3b9d4793e9ea6ec1ff1d2277e2ed88ad3,1000
0xb0ea1d7c5eeafcc2409588e08404d90a77457c63,3000
0x7844e505327cdf2b7d94a7946d2aa1edb52e3030,2400
0xd67c34169b372d5b3932c548a940d4ea74fe7af5,10000
0x4b162dba01943bd8cd8af668be72fb769999ac83,88000
0x5b228fcb60a95f7e749e00c4b88154fc17e706dd,60600
0x8184561204f6180496bfee4ddfd9dc2c0b57b5de,800
0xec5041fbdc10166717d4a84287b02a6bed152e4b,15000
0xac958575099e79085e1b4164fbf384f7544f2ce0,600
0xd01efb70f91e464a741cd24a30f8954779c3154c,1258.2
0x582f19cca38ee3a92123745490a86c9edea96008,500
0x4ffb83a8344f33453fbebe5e126534407ceb32f5,282924.7489
0x73b92634910d45412cdecf7a8d9baf83a17007b4,12000
0xd287b3f7f423d4fd7f3c000cf89f8f78fcd2a8b3,20000
0x52369555d76a4f3bd4232e77f15aeddbce6fcf71,300
0xf3bf6bdfea27464840d53b07c33ea21c951d3746,153776.6857
0x77bbfa1e9088b6763fdf18d4655421e81afaacee,1600
0x597f0fdbb96485cd258777248052ff0e4781fe4c,8232.998512
0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,244039.1505
0x80f75ef9612922141aad2372ae400e8b3a41b05a,2229
0x800819b08c66a1ecbea09e4b64c7e3412c104df5,500
0x16a67659da81ef3d7f9e4920177e1c17a11fd669,300
0x565f962423e3fbb79e8912313884a8f49bb97600,300
0x43492e8a862baa9c9fc505d95b9e67e21622ff7a,7200
0x7ef0bf0f24e961f0a4eb7af3f72dfd35f5d4147f,600
0xbc7accd86bda5afc0997f4c626c8dcf72fa203b4,300
0xb27884af253c6e9cdfb097fbf65c0a3b0a3de254,600
