account,amount
0x1B76b011C0a1E03896bFc8923bE228E430bb9049,7432.96961
0xb8aEe482305B7B219704350786FCE47847CEC996,7870.203117
0x9E89a144F7c05EB0d258B61a71d00bCa79e42715,5902.652338
0x7D53BA1D70a66D572A90E3e80Ad4253769340EE7,8088.81987
0xB8abE31a6caF1217D632190559B2C1FD909178ec,1093.083766
0x6bD68d667ECcEA663b2a2Bee1311F7AD6c817602,4372.335065
0x098F2C764F892c24b9Abb9656761eB5946370B35,7870.203117
0x27B503fd677dd889ea3E7804DF492D2D809E6052,6339.885844
0x902b13E46305E3AE10F70871C6D0bca9E5446b07,7870.203117
0x29Faeb62f4e9E1456c2fEED5c6f27B13Fae91Dae,7651.586364
0x4Ffb83A8344F33453fBEbe5e126534407ceb32f5,7432.96961
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,7651.586364
0x4D6654beeC5942aEe8E3102528a58fb34A0f1b19,5684.035584
0x3b75B768Dd0dc2F71ac0bCa8713ed5E9C82cfcce,874.467013
0x9FbDE1512D2AeB2000866fa6F8A01E6Bc80559e0,4153.718312
0x5B228FCb60A95F7E749E00c4B88154FC17e706dD,7870.203117
0x52Ff0010d4058bb726725ad76F542C53033D67a1,7870.203117
0x3F13C31474141F6912eed296220c0996c90253d2,5465.418831
0x332345477Db00239f88CA2Eb015B159750Cf3C44,6995.736104
0xdaFE3083BD4865aDE8fEa183c0E058a585baB68b,7432.96961
0x290AA5081D6298C181949946893876A1B76Bf144,6995.736104
0x4Ed2F7EaDd13CdC339b67F371610bf26224E4B98,6777.119351
0x42B81011a367d3C7f4e4B570Fadd51209C93F287,6995.736104
0x10ea167893cb51500Ec829222E3D17a968FEB650,218.6167532
0xc341683d1Ee57b13Ab90a1FC00F38dC6F7aFdd14,7651.586364
0x45c4224b8CdC16c2fAf83AfD541AfF840dD3f571,1311.700519
0x7A6ff8906f68C0ceAfDd61C2E5d39834cF0b39F1,5902.652338
0x89c60C01F2E1d1b233253596bf1c2386bDfeB898,6558.502597
0x82944b68bB92fA11764041AA61204b5fdC85F429,5902.652338
0x9A9737e821bb216EF74Cd0E6b2Dd3E4FfF98C681,1748.934026
0x991b1aDe06d49454FD7A2cAeaf31F908e00d1c63,6777.119351
0x8C913aEc7443FE2018639133398955e0E17FB0C1,5902.652338
0x47A7202A726324788609003549675F1dBC645b07,6339.885844
0x608a9358354A93581E686ac7fFdE9D5FADbcb7E0,6995.736104
0xD85c413dA833CeBD8338138CcEFA04979DF70E8e,45000
0x41D2Ce62cd81D9ccd5C6890DCb44267B26165F85,40000
0x4564d5a8Bb409272F1FB4ae4c8b45fC0eaFd709D,66000
0x4d4b78D37090eD3e1EAe6779bA2C3D6728052915,66000
0x9d6b1a15d476BfBBDf4274Ef6B405086cD7258f9,17000
0x82944b68bB92fA11764041AA61204b5fdC85F429,66000
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,80000
0x4d4b78D37090eD3e1EAe6779bA2C3D6728052915,100000
0x364aE797F7C2564427808dd66470157BA7CaF37b,30000
0xcE18A7452d57579d6c6b885B69B1978067Cd2D87,15600
0x8184561204F6180496bfEe4dDFd9Dc2C0B57b5DE,4000
0x913d7434A18F0ef40181B92a9603e0425ab0ADdf,2400
0x47A7202A726324788609003549675F1dBC645b07,9200
0x132E925e1F13E3a2E6f948E8a0aD0a1b99454af8,3500
